Locus	Name	Product	type	start	end	strand	snpEff_locus_id
Rv0642c	mmaA4	Methoxy mycolic acid synthase 4 MmaA4 (methyl mycolic acid synthase 4) (MMA4) (hydroxy mycolic acid synthase)	CDS	736298	737203	-	CDS_NC_000962.3_736298_737203
Rv0645c	mmaA1	Methoxy mycolic acid synthase 1 MmaA1 (methyl mycolic acid synthase 1) (MMA1) (hydroxy mycolic acid synthase)	CDS	739327	740187	-	CDS_NC_000962.3_739327_740187
Rv0648	Rv0648	Alpha-mannosidase	CDS	742719	746366	+	CDS_NC_000962.3_742719_746366
Rv0686	Rv0686	Probable membrane protein	CDS	786149	786946	+	CDS_NC_000962.3_786149_786946
Rv0653c	Rv0653c	Possible transcriptional regulatory protein (probably TetR-family)	CDS	749234	749929	-	CDS_NC_000962.3_749234_749929
Rv0654	Rv0654	Probable dioxygenase	CDS	750000	751505	+	CDS_NC_000962.3_750000_751505
Rv0658c	Rv0658c	Probable conserved integral membrane protein	CDS	753693	754409	-	CDS_NC_000962.3_753693_754409
Rv0663	atsD	Possible arylsulfatase AtsD (aryl-sulfate sulphohydrolase) (arylsulphatase)	CDS	756137	758500	+	CDS_NC_000962.3_756137_758500
Rv0687	Rv0687	Probable short-chain type dehydrogenase/reductase	CDS	787099	787926	+	CDS_NC_000962.3_787099_787926
Rv0668	rpoC	DNA-directed RNA polymerase (beta' chain) RpoC (transcriptase beta' chain) (RNA polymerase beta' subunit).	CDS	763370	767320	+	CDS_NC_000962.3_763370_767320
Rv0669c	Rv0669c	Possible hydrolase	CDS	767684	769597	-	CDS_NC_000962.3_767684_769597
Rv0671	lpqP	Possible conserved lipoprotein LpqP	CDS	770582	771424	+	CDS_NC_000962.3_770582_771424
Rv0672	fadE8	Probable acyl-CoA dehydrogenase FadE8	CDS	771484	773112	+	CDS_NC_000962.3_771484_773112
Rv0675	echA5	Probable enoyl-CoA hydratase EchA5 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)	CDS	774783	775574	+	CDS_NC_000962.3_774783_775574
Rv0682	rpsL	30S ribosomal protein S12 RpsL	CDS	781560	781934	+	CDS_NC_000962.3_781560_781934
Rv0688	Rv0688	Putative ferredoxin reductase	CDS	787940	789160	+	CDS_NC_000962.3_787940_789160
Rv0691c	Rv0691c	Probable transcriptional regulatory protein	CDS	791070	791666	-	CDS_NC_000962.3_791070_791666
Rv0694	lldD1	Possible L-lactate dehydrogenase (cytochrome) LldD1	CDS	793335	794525	+	CDS_NC_000962.3_793335_794525
Rv0696	Rv0696	Probable membrane sugar transferase	CDS	795519	796931	+	CDS_NC_000962.3_795519_796931
Rv0705	rpsS	30S ribosomal protein S19 RpsS	CDS	803411	803692	+	CDS_NC_000962.3_803411_803692
Rv0706	rplV	50S ribosomal protein L22 RplV	CDS	803689	804282	+	CDS_NC_000962.3_803689_804282
Rv0711	atsA	Possible arylsulfatase AtsA (aryl-sulfate sulphohydrolase) (arylsulphatase)	CDS	806335	808698	+	CDS_NC_000962.3_806335_808698
Rv0718	rpsH	30S ribosomal protein S8 RpsH	CDS	812976	813374	+	CDS_NC_000962.3_812976_813374
Rv0730	Rv0730	GCN5-related N-acetyltransferase	CDS	822866	823594	+	CDS_NC_000962.3_822866_823594
Rv0721	rpsE	30S ribosomal protein S5 RpsE	CDS	814328	814990	+	CDS_NC_000962.3_814328_814990
Rv0724	sppA	Possible protease IV SppA (endopeptidase IV) (signal peptide peptidase)	CDS	815663	817534	+	CDS_NC_000962.3_815663_817534
Rv0729	xylB	Possible D-xylulose kinase XylB (xylulokinase) (xylulose kinase)	CDS	821507	822853	+	CDS_NC_000962.3_821507_822853
Rv0732	secY	Probable preprotein translocase SecY	CDS	824800	826125	+	CDS_NC_000962.3_824800_826125
Rv0740	Rv0740	Conserved hypothetical protein	CDS	831776	832303	+	CDS_NC_000962.3_831776_832303
Rv0744c	Rv0744c	Possible transcriptional regulatory protein	CDS	834440	834946	-	CDS_NC_000962.3_834440_834946
Rv0751c	mmsB	Probable 3-hydroxyisobutyrate dehydrogenase MmsB (hibadh)	CDS	842347	843231	-	CDS_NC_000962.3_842347_843231
Rv0753c	mmsA	Probable methylmalonate-semialdehyde dehydrogenase MmsA (methylmalonic acid semialdehyde dehydrogenase) (MMSDH)	CDS	844421	845953	-	CDS_NC_000962.3_844421_845953
Rv0757	phoP	Possible two component system response transcriptional positive regulator PhoP	CDS	851608	852351	+	CDS_NC_000962.3_851608_852351
Rv0758	phoR	Possible two component system response sensor kinase membrane associated PhoR	CDS	852396	853853	+	CDS_NC_000962.3_852396_853853
Rv0808	purF	Amidophosphoribosyltransferase PurF (glutamine phosphoribosylpyrophosphate amidotransferase) (ATASE) (gpatase)	CDS	902111	903694	+	CDS_NC_000962.3_902111_903694
Rv0761c	adhB	Possible zinc-containing alcohol dehydrogenase NAD dependent AdhB	CDS	854699	855826	-	CDS_NC_000962.3_854699_855826
Rv0764c	cyp51	Cytochrome P450 51 Cyp51 (CYPL1) (P450-L1A1) (sterol 14-alpha demethylase) (lanosterol 14-alpha demethylase) (P450-14DM)	CDS	856682	858037	-	CDS_NC_000962.3_856682_858037
Rv0768	aldA	Probable aldehyde dehydrogenase NAD dependent AldA (aldehyde dehydrogenase [NAD+])	CDS	860912	862381	+	CDS_NC_000962.3_860912_862381
Rv0769	Rv0769	Probable dehydrogenase/reductase	CDS	862412	863158	+	CDS_NC_000962.3_862412_863158
Rv0772	purD	Probable phosphoribosylamine--glycine ligase PurD (GARS) (glycinamide ribonucleotide synthetase) (phosphoribosylglycinamide synthetase) (5'-phosphoribosylglycinamide synthetase)	CDS	864586	865854	+	CDS_NC_000962.3_864586_865854
Rv0894	Rv0894	Possible transcriptional regulatory protein (possibly LuxR-family)	CDS	996524	997705	+	CDS_NC_000962.3_996524_997705
Rv0777	purB	Probable adenylosuccinate lyase PurB (adenylosuccinase) (ASL) (ASASE)	CDS	870008	871426	+	CDS_NC_000962.3_870008_871426
Rv0780	purC	Phosphoribosylaminoimidazole- succinocarboxamide synthase PurC (SAICAR synthetase)	CDS	873343	874236	+	CDS_NC_000962.3_873343_874236
Rv0781	ptrBa	Probable protease II PtrBa [first part] (oligopeptidase B)	CDS	874233	874943	+	CDS_NC_000962.3_874233_874943
Rv0783c	emrB	Possible multidrug resistance integral membrane efflux protein EmrB	CDS	876818	878440	-	CDS_NC_000962.3_876818_878440
Rv0785	Rv0785	Conserved protein	CDS	879340	881040	+	CDS_NC_000962.3_879340_881040
Rv0794c	Rv0794c	Probable oxidoreductase	CDS	887137	888636	-	CDS_NC_000962.3_887137_888636
Rv0796	Rv0796	Putative transposase for insertion sequence element IS6110	CDS	889347	890333	+	CDS_NC_000962.3_889347_890333
Rv0799c	Rv0799c	Conserved protein	CDS	892266	893273	-	CDS_NC_000962.3_892266_893273
Rv0803	purL	Phosphoribosylformylglycinamidine synthase II PurL (FGAM synthase II)	CDS	895820	898084	+	CDS_NC_000962.3_895820_898084
Rv0806c	cpsY	Possible UDP-glucose-4-epimerase CpsY (galactowaldenase) (UDP-galactose-4-epimerase) (uridine diphosphate galactose-4-epimerase) (uridine diphospho-galactose-4-epimerase)	CDS	899732	901330	-	CDS_NC_000962.3_899732_901330
Rv0919	Rv0919	GCN5-related N-acetyltransferase	CDS	1024684	1025184	+	CDS_NC_000962.3_1024684_1025184
Rv0815c	cysA2	Probable thiosulfate sulfurtransferase CysA2 (rhodanese-like protein) (thiosulfate cyanide transsulfurase) (thiosulfate thiotransferase)	CDS	908485	909318	-	CDS_NC_000962.3_908485_909318
Rv0816c	thiX	Probable thioredoxin ThiX	CDS	909611	910033	-	CDS_NC_000962.3_909611_910033
Rv0821c	phoY2	Probable phosphate-transport system transcriptional regulatory protein PhoY2	CDS	913558	914199	-	CDS_NC_000962.3_913558_914199
Rv0822c	Rv0822c	Conserved protein	CDS	914257	916311	-	CDS_NC_000962.3_914257_916311
Rv0833	PE_PGRS13	PE-PGRS family protein PE_PGRS13	CDS	925361	927610	+	CDS_NC_000962.3_925361_927610
Rv0834c	PE_PGRS14	PE-PGRS family protein PE_PGRS14	CDS	927837	930485	-	CDS_NC_000962.3_927837_930485
Rv0835	lpqQ	Possible lipoprotein LpqQ	CDS	930953	931597	+	CDS_NC_000962.3_930953_931597
Rv0836c	Rv0836c	Hypothetical protein	CDS	932279	932932	-	CDS_NC_000962.3_932279_932932
Rv0844c	narL	Possible nitrate/nitrite response transcriptional regulatory protein NarL	CDS	940456	941106	-	CDS_NC_000962.3_940456_941106
Rv0845	Rv0845	Possible two component sensor kinase	CDS	941190	942467	+	CDS_NC_000962.3_941190_942467
Rv0848	cysK2	Possible cysteine synthase a CysK2 (O-acetylserine sulfhydrylase) (O-acetylserine (thiol)-lyase) (CSASE)	CDS	944938	946056	+	CDS_NC_000962.3_944938_946056
Rv0851c	Rv0851c	Probable short-chain type dehydrogenase/reductase	CDS	947641	948468	-	CDS_NC_000962.3_947641_948468
Rv0920c	Rv0920c	Probable transposase	CDS	1025497	1026816	-	CDS_NC_000962.3_1025497_1026816
Rv0855	far	Probable fatty-acid-CoA racemase Far	CDS	951632	952711	+	CDS_NC_000962.3_951632_952711
Rv0859	fadA	Possible acyl-CoA thiolase FadA	CDS	955077	956288	+	CDS_NC_000962.3_955077_956288
Rv0860	fadB	Probable fatty oxidation protein FadB	CDS	956293	958455	+	CDS_NC_000962.3_956293_958455
Rv0861c	ercc3	DNA helicase Ercc3	CDS	958523	960151	-	CDS_NC_000962.3_958523_960151
Rv0864	moaC2	Probable molybdenum cofactor biosynthesis protein C 2 MoaC2	CDS	962890	963393	+	CDS_NC_000962.3_962890_963393
Rv0865	mog	Probable molybdopterin biosynthesis Mog protein	CDS	963390	963872	+	CDS_NC_000962.3_963390_963872
Rv0866	moaE2	Probable molybdenum cofactor biosynthesis protein E2 MoaE2 (molybdopterin converting factor large subunit) (molybdopterin [MPT] converting factor, subunit 2)	CDS	963869	964294	+	CDS_NC_000962.3_963869_964294
Rv0869c	moaA2	Probable molybdenum cofactor biosynthesis protein A2 MoaA2	CDS	966265	967347	-	CDS_NC_000962.3_966265_967347
Rv0878c	PPE13	PPE family protein PPE13	CDS	976872	978203	-	CDS_NC_000962.3_976872_978203
Rv0881	Rv0881	Possible rRNA methyltransferase (rRNA methylase)	CDS	979362	980228	+	CDS_NC_000962.3_979362_980228
Rv0884c	serC	Possible phosphoserine aminotransferase SerC (PSAT)	CDS	981424	982554	-	CDS_NC_000962.3_981424_982554
Rv0889c	citA	Probable citrate synthase II CitA	CDS	988740	989861	-	CDS_NC_000962.3_988740_989861
Rv0899	ompA	Outer membrane protein A OmpA	CDS	1002812	1003792	+	CDS_NC_000962.3_1002812_1003792
Rv0902c	prrB	Two component sensor histidine kinase PrrB	CDS	1004501	1005841	-	CDS_NC_000962.3_1004501_1005841
Rv0904c	accD3	Putative acetyl-coenzyme A carboxylase carboxyl transferase (subunit beta) AccD3 (accase beta chain)	CDS	1006693	1008180	-	CDS_NC_000962.3_1006693_1008180
Rv0908	ctpE	Probable metal cation transporter ATPase P-type CtpE	CDS	1011731	1014124	+	CDS_NC_000962.3_1011731_1014124
Rv0914c	Rv0914c	Possible lipid carrier protein or keto acyl-CoA thiolase	CDS	1018727	1019965	-	CDS_NC_000962.3_1018727_1019965
Rv0917	betP	Possible glycine betaine transport integral membrane protein BetP	CDS	1022087	1023868	+	CDS_NC_000962.3_1022087_1023868
Rv0924c	mntH	Divalent cation-transport integral membrane protein MntH (BRAMP) (MRAMP)	CDS	1030578	1031864	-	CDS_NC_000962.3_1030578_1031864
Rv0929	pstC2	Phosphate-transport integral membrane ABC transporter PstC2	CDS	1036028	1037002	+	CDS_NC_000962.3_1036028_1037002
Rv0932c	pstS2	Periplasmic phosphate-binding lipoprotein PstS2 (PBP-2) (PstS2)	CDS	1039936	1041048	-	CDS_NC_000962.3_1039936_1041048
Rv0934	pstS1	Periplasmic phosphate-binding lipoprotein PstS1 (PBP-1) (PstS1)	CDS	1042115	1043239	+	CDS_NC_000962.3_1042115_1043239
Rv0938	ligD	ATP dependent DNA ligase LigD (ATP dependent polydeoxyribonucleotide synthase) (thermostable DNA ligase) (ATP dependent polynucleotide ligase) (sealase) (DNA repair enzyme) (DNA joinase)	CDS	1046136	1048415	+	CDS_NC_000962.3_1046136_1048415
Rv0945	Rv0945	Probable short-chain type dehydrogenase/reductase	CDS	1054247	1055008	+	CDS_NC_000962.3_1054247_1055008
Rv0946c	pgi	Probable glucose-6-phosphate isomerase Pgi (GPI) (phosphoglucose isomerase) (phosphohexose isomerase) (phi)	CDS	1055024	1056685	-	CDS_NC_000962.3_1055024_1056685
Rv0949	uvrD1	Probable ATP-dependent DNA helicase II UvrD1	CDS	1058260	1060575	+	CDS_NC_000962.3_1058260_1060575
Rv0951	sucC	Probable succinyl-CoA synthetase (beta chain) SucC (SCS-beta)	CDS	1061964	1063127	+	CDS_NC_000962.3_1061964_1063127
Rv0956	purN	Probable 5'-phosphoribosylglycinamide formyltransferase PurN (GART) (gar transformylase) (5'-phosphoribosylglycinamide transformylase)	CDS	1067561	1068208	+	CDS_NC_000962.3_1067561_1068208
Rv0957	purH	Probable bifunctional purine biosynthesis protein PurH: phosphoribosylaminoimidazolecarboxamide formyltransferase (AICAR transformylase) (5'-phosphoribosyl-5-aminoimidazole-4-carboxamide formyltransferase) + inosinemonophosphate cyclohydrolase (imp cyclohydrolase) (inosinicase) (imp synthetase) (ATIC)	CDS	1068205	1069776	+	CDS_NC_000962.3_1068205_1069776
Rv1430	PE16	PE family protein PE16	CDS	1606386	1607972	+	CDS_NC_000962.3_1606386_1607972
Rv0969	ctpV	Probable metal cation transporter P-type ATPase CtpV	CDS	1078743	1081055	+	CDS_NC_000962.3_1078743_1081055
Rv1057	Rv1057	Conserved hypothetical protein	CDS	1179396	1180577	+	CDS_NC_000962.3_1179396_1180577
Rv0973c	accA2	Probable acetyl-/propionyl-coenzyme A carboxylase alpha chain (alpha subunit) AccA2: biotin carboxylase + biotin carboxyl carrier protein (BCCP)	CDS	1083747	1085750	-	CDS_NC_000962.3_1083747_1085750
Rv0975c	fadE13	Probable acyl-CoA dehydrogenase FadE13	CDS	1087348	1088496	-	CDS_NC_000962.3_1087348_1088496
Rv0977	PE_PGRS16	PE-PGRS family protein PE_PGRS16	CDS	1090373	1093144	+	CDS_NC_000962.3_1090373_1093144
Rv0981	mprA	Mycobacterial persistence regulator MRPA (two component response transcriptional regulatory protein)	CDS	1096822	1097508	+	CDS_NC_000962.3_1096822_1097508
Rv0982	mprB	Two component sensor kinase MprB	CDS	1097508	1099022	+	CDS_NC_000962.3_1097508_1099022
Rv0985c	mscL	Possible large-conductance ion mechanosensitive channel MscL	CDS	1101025	1101480	-	CDS_NC_000962.3_1101025_1101480
Rv0986	Rv0986	Probable adhesion component transport ATP-binding protein ABC transporter	CDS	1101803	1102549	+	CDS_NC_000962.3_1101803_1102549
Rv0989c	grcC2	Probable polyprenyl-diphosphate synthase GrcC2 (polyprenyl pyrophosphate synthetase)	CDS	1106405	1107382	-	CDS_NC_000962.3_1106405_1107382
Rv0993	galU	UTP--glucose-1-phosphate uridylyltransferase GalU (UDP-glucose pyrophosphorylase) (UDPGP) (alpha-D-glucosyl-1-phosphate uridylyltransferase) (uridine diphosphoglucose pyrophosphorylase)	CDS	1109272	1110192	+	CDS_NC_000962.3_1109272_1110192
Rv1007c	metS	Methionyl-tRNA synthetase MetS (MetRS) (methionine--tRNA ligase)	CDS	1125444	1127003	-	CDS_NC_000962.3_1125444_1127003
Rv0998	Rv0998	Conserved hypothetical protein	CDS	1114748	1115749	+	CDS_NC_000962.3_1114748_1115749
Rv0999	Rv0999	Unknown protein	CDS	1115767	1116525	+	CDS_NC_000962.3_1115767_1116525
Rv1013	pks16	Putative polyketide synthase Pks16	CDS	1131625	1133259	+	CDS_NC_000962.3_1131625_1133259
Rv1016c	lpqT	Probable conserved lipoprotein LpqT	CDS	1134785	1135465	-	CDS_NC_000962.3_1134785_1135465
Rv1025	Rv1025	Conserved protein	CDS	1146561	1147028	+	CDS_NC_000962.3_1146561_1147028
Rv1026	Rv1026	Conserved protein	CDS	1147019	1147978	+	CDS_NC_000962.3_1147019_1147978
Rv1029	kdpA	Probable potassium-transporting ATPase a chain KdpA (potassium-translocating ATPase a chain) (ATP phosphohydrolase [potassium-transporting] a chain) (potassium binding and translocating subunit A)	CDS	1152012	1153727	+	CDS_NC_000962.3_1152012_1153727
Rv1030	kdpB	Probable potassium-transporting P-type ATPase B chain KdpB (potassium-translocating ATPase B chain) (ATP phosphohydrolase [potassium-transporting] B chain) (potassium binding and translocating subunit B)	CDS	1153724	1155853	+	CDS_NC_000962.3_1153724_1155853
Rv1033c	trcR	Two component transcriptional regulator TrcR	CDS	1157963	1158736	-	CDS_NC_000962.3_1157963_1158736
Rv1053c	Rv1053c	Hypothetical protein	CDS	1176011	1176286	-	CDS_NC_000962.3_1176011_1176286
Rv1054	Rv1054	Probable integrase (fragment)	CDS	1176928	1177242	+	CDS_NC_000962.3_1176928_1177242
Rv1063c	Rv1063c	Conserved hypothetical protein	CDS	1185741	1186823	-	CDS_NC_000962.3_1185741_1186823
Rv1067c	PE_PGRS19	PE-PGRS family protein PE_PGRS19	CDS	1188421	1190424	-	CDS_NC_000962.3_1188421_1190424
Rv1071c	echA9	Possible enoyl-CoA hydratase EchA9 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)	CDS	1195055	1196092	-	CDS_NC_000962.3_1195055_1196092
Rv1086	Rv1086	Short (C15) chain Z-isoprenyl diphosphate synthase (Z-FPP synthase) (Z-farnesyl diphosphate synthase) (Z-FPP synthetase) (Z-farnesyl diphosphate synthetase) (geranyltranstransferase) (farnesyl pyrophosphate synthetase)	CDS	1210595	1211383	+	CDS_NC_000962.3_1210595_1211383
Rv1073	Rv1073	Conserved hypothetical protein	CDS	1197231	1198082	+	CDS_NC_000962.3_1197231_1198082
Rv1074c	fadA3	Probable beta-ketoacyl CoA thiolase FadA3	CDS	1198156	1199373	-	CDS_NC_000962.3_1198156_1199373
Rv1077	cbs	Probable cystathionine beta-synthase Cbs (serine sulfhydrase) (beta-thionase) (hemoprotein H-450)	CDS	1201717	1203111	+	CDS_NC_000962.3_1201717_1203111
Rv1082	mca	Mycothiol conjugate amidase Mca (mycothiol S-conjugate amidase)	CDS	1206520	1207386	+	CDS_NC_000962.3_1206520_1207386
Rv1094	desA2	Possible acyl-[acyl-carrier protein] desaturase DesA2 (acyl-[ACP] desaturase) (stearoyl-ACP desaturase)	CDS	1221959	1222786	+	CDS_NC_000962.3_1221959_1222786
Rv1097c	Rv1097c	Probable membrane glycine and proline rich protein	CDS	1225263	1226144	-	CDS_NC_000962.3_1225263_1226144
Rv1124	ephC	Probable epoxide hydrolase EphC (epoxide hydratase)	CDS	1247127	1248077	+	CDS_NC_000962.3_1247127_1248077
Rv1098c	fum	Probable fumarase Fum (fumarate hydratase)	CDS	1226141	1227565	-	CDS_NC_000962.3_1226141_1227565
Rv1106c	Rv1106c	3-beta-hydroxysteroid dehydrogenase	CDS	1232844	1233956	-	CDS_NC_000962.3_1232844_1233956
Rv1214c	PE14	PE family protein PE14	CDS	1357293	1357625	-	CDS_NC_000962.3_1357293_1357625
Rv1110	lytB2	Probable LYTB-related protein LytB2	CDS	1236185	1237192	+	CDS_NC_000962.3_1236185_1237192
Rv1127c	ppdK	Probable pyruvate, phosphate dikinase PpdK	CDS	1249932	1251404	-	CDS_NC_000962.3_1249932_1251404
Rv1131	prpC	Probable methylcitrate synthase PrpC	CDS	1256132	1257313	+	CDS_NC_000962.3_1256132_1257313
Rv1133c	metE	Probable 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase MetE (methionine synthase, vitamin-B12 independent isozyme)	CDS	1259067	1261346	-	CDS_NC_000962.3_1259067_1261346
Rv1142c	echA10	Probable enoyl-CoA hydratase EchA10 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)	CDS	1269152	1269958	-	CDS_NC_000962.3_1269152_1269958
Rv1146	mmpL13b	Probable conserved transmembrane transport protein MmpL13b	CDS	1273355	1274767	+	CDS_NC_000962.3_1273355_1274767
Rv1709	scpA	Possible segregation and condensation protein ScpA	CDS	1937313	1938149	+	CDS_NC_000962.3_1937313_1938149
Rv1158c	Rv1158c	Conserved hypothetical ala-, pro-rich protein	CDS	1284179	1284862	-	CDS_NC_000962.3_1284179_1284862
Rv1159	pimE	Mannosyltransferase PimE	CDS	1284992	1286287	+	CDS_NC_000962.3_1284992_1286287
Rv1162	narH	Probable respiratory nitrate reductase (beta chain) NarH	CDS	1291065	1292741	+	CDS_NC_000962.3_1291065_1292741
Rv1164	narI	Probable respiratory nitrate reductase (gamma chain) NarI	CDS	1293406	1294146	+	CDS_NC_000962.3_1293406_1294146
Rv1228	lpqX	Probable lipoprotein LpqX	CDS	1370920	1371477	+	CDS_NC_000962.3_1370920_1371477
Rv1165	typA	Possible GTP-binding translation elongation factor TypA (tyrosine phosphorylated protein A) (GTP-binding protein)	CDS	1294168	1296054	+	CDS_NC_000962.3_1294168_1296054
Rv1170	mshB	N-acetyl-1-D-myo-inosityl-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase MshB (GlcNAc-Ins deacetylase)	CDS	1300304	1301215	+	CDS_NC_000962.3_1300304_1301215
Rv1173	fbiC	Probable F420 biosynthesis protein FbiC	CDS	1302931	1305501	+	CDS_NC_000962.3_1302931_1305501
Rv1250	Rv1250	Probable drug-transport integral membrane protein	CDS	1394179	1395918	+	CDS_NC_000962.3_1394179_1395918
Rv1178	Rv1178	Probable aminotransferase	CDS	1309364	1310452	+	CDS_NC_000962.3_1309364_1310452
Rv1179c	Rv1179c	Unknown protein	CDS	1310480	1313299	-	CDS_NC_000962.3_1310480_1313299
Rv1183	mmpL10	Probable conserved transmembrane transport protein MmpL10	CDS	1321520	1324528	+	CDS_NC_000962.3_1321520_1324528
Rv1187	rocA	Probable pyrroline-5-carboxylate dehydrogenase RocA	CDS	1329390	1331021	+	CDS_NC_000962.3_1329390_1331021
Rv1193	fadD36	Probable fatty-acid-CoA ligase FadD36 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	CDS	1335794	1337215	+	CDS_NC_000962.3_1335794_1337215
Rv1199c	Rv1199c	Possible transposase	CDS	1341358	1342605	-	CDS_NC_000962.3_1341358_1342605
Rv1202	dapE	Probable succinyl-diaminopimelate desuccinylase DapE	CDS	1345260	1346324	+	CDS_NC_000962.3_1345260_1346324
Rv1206	fadD6	Probable fatty-acid-CoA ligase FadD6 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	CDS	1349332	1351125	+	CDS_NC_000962.3_1349332_1351125
Rv1213	glgC	Glucose-1-phosphate adenylyltransferase GlgC (ADP-glucose synthase) (ADP-glucose pyrophosphorylase)	CDS	1355836	1357050	+	CDS_NC_000962.3_1355836_1357050
Rv1217c	Rv1217c	Probable tetronasin-transport integral membrane protein ABC transporter	CDS	1360155	1361801	-	CDS_NC_000962.3_1360155_1361801
Rv1221	sigE	Alternative RNA polymerase sigma factor SigE	CDS	1364413	1365186	+	CDS_NC_000962.3_1364413_1365186
Rv1223	htrA	Probable serine protease HtrA (DEGP protein)	CDS	1365875	1367461	+	CDS_NC_000962.3_1365875_1367461
Rv1225c	Rv1225c	Conserved hypothetical protein	CDS	1367891	1368721	-	CDS_NC_000962.3_1367891_1368721
Rv1232c	Rv1232c	Conserved protein	CDS	1374861	1376168	-	CDS_NC_000962.3_1374861_1376168
Rv1235	lpqY	Probable sugar-binding lipoprotein LpqY	CDS	1377524	1378930	+	CDS_NC_000962.3_1377524_1378930
Rv1238	sugC	Probable sugar-transport ATP-binding protein ABC transporter SugC	CDS	1380684	1381865	+	CDS_NC_000962.3_1380684_1381865
Rv1321	Rv1321	Conserved hypothetical protein	CDS	1484279	1484959	+	CDS_NC_000962.3_1484279_1484959
Rv1245c	Rv1245c	Probable short-chain type dehydrogenase/reductase	CDS	1387798	1388628	-	CDS_NC_000962.3_1387798_1388628
Rv1248c	Rv1248c	Multifunctional alpha-ketoglutarate metabolic enzyme	CDS	1389357	1393052	-	CDS_NC_000962.3_1389357_1393052
Rv1258c	Rv1258c	Probable conserved integral membrane transport protein	CDS	1406081	1407340	-	CDS_NC_000962.3_1406081_1407340
Rv1260	Rv1260	Probable oxidoreductase	CDS	1408240	1409358	+	CDS_NC_000962.3_1408240_1409358
Rv1264	Rv1264	Adenylyl cyclase (ATP pyrophosphate-lyase) (adenylate cyclase)	CDS	1411894	1413087	+	CDS_NC_000962.3_1411894_1413087
Rv1322	Rv1322	Conserved hypothetical protein	CDS	1484982	1485278	+	CDS_NC_000962.3_1484982_1485278
Rv1273c	Rv1273c	Probable drugs-transport transmembrane ATP-binding protein ABC transporter	CDS	1422302	1424050	-	CDS_NC_000962.3_1422302_1424050
Rv1280c	oppA	Probable periplasmic oligopeptide-binding lipoprotein OppA	CDS	1431665	1433440	-	CDS_NC_000962.3_1431665_1433440
Rv1285	cysD	Probable sulfate adenylyltransferase subunit 2 CysD	CDS	1437909	1438907	+	CDS_NC_000962.3_1437909_1438907
Rv2154c	ftsW	FtsW-like protein FtsW	CDS	2413348	2414922	-	CDS_NC_000962.3_2413348_2414922
Rv1294	thrA	Probable homoserine dehydrogenase ThrA	CDS	1449375	1450700	+	CDS_NC_000962.3_1449375_1450700
Rv1297	rho	Probable transcription termination factor Rho homolog	CDS	1453204	1455012	+	CDS_NC_000962.3_1453204_1455012
Rv1302	rfe	Probable undecapaprenyl-phosphate alpha-N-acetylglucosaminyltransferase Rfe (UDP-GlcNAc transferase)	CDS	1458295	1459509	+	CDS_NC_000962.3_1458295_1459509
Rv1307	atpH	Probable ATP synthase delta chain AtpH	CDS	1461843	1463183	+	CDS_NC_000962.3_1461843_1463183
Rv1308	atpA	Probable ATP synthase alpha chain AtpA	CDS	1463228	1464877	+	CDS_NC_000962.3_1463228_1464877
Rv1313c	Rv1313c	Possible transposase	CDS	1468171	1469505	-	CDS_NC_000962.3_1468171_1469505
Rv1317c	alkA	Probable bifunctional regulatory protein and DNA repair enzyme AlkA (regulatory protein of adaptative response) (methylphosphotriester-DNA--protein-cysteine S-methyltransferase)	CDS	1477628	1479118	-	CDS_NC_000962.3_1477628_1479118
Rv1319c	Rv1319c	Possible adenylate cyclase (ATP pyrophosphate-lyase) (adenylyl cyclase)	CDS	1480894	1482501	-	CDS_NC_000962.3_1480894_1482501
Rv1325c	PE_PGRS24	PE-PGRS family protein PE_PGRS24	CDS	1488154	1489965	-	CDS_NC_000962.3_1488154_1489965
Rv1330c	pncB1	Nicotinic acid phosphoribosyltransferase PncB1	CDS	1499213	1500559	-	CDS_NC_000962.3_1499213_1500559
Rv1345	mbtM	Probable fatty acyl-AMP ligase MbtM	CDS	1509281	1510846	+	CDS_NC_000962.3_1509281_1510846
Rv1348	irtA	Iron-regulated transporter IrtA	CDS	1513047	1515626	+	CDS_NC_000962.3_1513047_1515626
Rv1349	irtB	Iron-regulated transporter IrtB	CDS	1515623	1517362	+	CDS_NC_000962.3_1515623_1517362
Rv1354c	Rv1354c	Conserved hypothetical protein	CDS	1520005	1521876	-	CDS_NC_000962.3_1520005_1521876
Rv1358	Rv1358	Probable transcriptional regulatory protein	CDS	1526612	1530091	+	CDS_NC_000962.3_1526612_1530091
Rv1368	lprF	Probable conserved lipoprotein LprF	CDS	1541020	1541805	+	CDS_NC_000962.3_1541020_1541805
Rv1377c	Rv1377c	Putative transferase	CDS	1550579	1551217	-	CDS_NC_000962.3_1550579_1551217
Rv1378c	Rv1378c	Conserved hypothetical protein	CDS	1551228	1552655	-	CDS_NC_000962.3_1551228_1552655
