Transcription-Units	Transcription units - binding sites	Transcription units - promoter of operon	Sequence - coordinates of DNA region	Genes of transcription unit	Ontology -  all instances of class	Ontology - all ancestors of entity	Ontology - all subclasses of class	Regulation - regulator proteins of transcription unit	Transcription units - regulators of operon	Names	Object ID	Direction	Left-End-Position	Citations	Data-Source
TU185E-5474			[TU185E-5474 701,406 &rarr; 702,759]	G185E-4741 // G185E-4740		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5474	+		:EV-COMP-AINF:3743282489:fulcher	
TU185E-6438			[TU185E-6438 2,737,117 &larr; 2,739,686]	G185E-6672 // G185E-6671		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6438	-		:EV-COMP-AINF:3743282535:fulcher	
TU185E-5842			[TU185E-5842 1,424,197 &rarr; 1,425,293]	G185E-5447 // G185E-5446		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5842	+		:EV-COMP-AINF:3743282506:fulcher	
TU185E-6803			[TU185E-6803 3,550,374 &rarr; 3,551,044]	G185E-7448 // G185E-7447		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6803	+		:EV-COMP-AINF:3743282553:fulcher	
TU185E-7171			[TU185E-7171 4,362,032 &larr; 4,364,757]	G185E-8181 // G185E-8180		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7171	-		:EV-COMP-AINF:3743282571:fulcher	
TU185E-7435			[TU185E-7435 2,346,197 &larr; 2,347,324]	G185E-6295		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7435	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282583:fulcher	
TU185E-6054			[TU185E-6054 1,970,989 &larr; 1,971,991]	G185E-5940 // G185E-5939		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6054	-		:EV-COMP-AINF:3743282517:fulcher	
TU185E-5458			[TU185E-5458 661,003 &rarr; 663,373]	G185E-4704 // G185E-4703		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5458	+		:EV-COMP-AINF:3743282488:fulcher	
TU185E-6422			[TU185E-6422 2,710,351 &larr; 2,713,784]	G185E-6645 // G185E-6644 // G185E-6643		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6422	-		:EV-COMP-AINF:3743282534:fulcher	
TU185E-5826			[TU185E-5826 1,395,821 &larr; 1,399,240]	G185E-5422		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5826	-		:EV-COMP-AINF:3743282505:fulcher	
TU185E-6787			[TU185E-6787 3,508,095 &rarr; 3,509,066]	G185E-7406		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6787	+		:EV-COMP-AINF:3743282552:fulcher	
TU185E-7155			[TU185E-7155 4,323,499 &rarr; 4,323,897]	G185E-8147		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7155	+		:EV-COMP-AINF:3743282570:fulcher	
TU185E-7419			[TU185E-7419 2,453,819 &rarr; 2,455,756]	G185E-6401		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7419	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282583:fulcher	
TU185E-6038			[TU185E-6038 1,934,882 &rarr; 1,941,679]	G185E-5905 // G185E-5904 // G185E-5903 // G185E-5902 // G185E-5901 // G185E-5900 // G185E-5899		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6038	+		:EV-COMP-AINF:3743282516:fulcher	
TU185E-5442			[TU185E-5442 637,583 &larr; 637,969]	G185E-4679		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5442	-		:EV-COMP-AINF:3743282487:fulcher	
TU185E-6406			[TU185E-6406 2,667,255 &larr; 2,675,837]	G185E-6609 // G185E-6608 // G185E-6607		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6406	-		:EV-COMP-AINF:3743282533:fulcher	
TU185E-5810			[TU185E-5810 1,364,413 &rarr; 1,365,186]	G185E-5391		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5810	+		:EV-COMP-AINF:3743282504:fulcher	
TU185E-6771			[TU185E-6771 3,468,413 &larr; 3,471,369]	G185E-7366 // G185E-7365 // G185E-7364 // G185E-7363		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6771	-		:EV-COMP-AINF:3743282551:fulcher	
TU185E-7139			[TU185E-7139 4,281,647 &rarr; 4,282,402]	G185E-8113		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7139	+		:EV-COMP-AINF:3743282569:fulcher	
TU185E-6022			[TU185E-6022 1,898,300 &larr; 1,899,916]	G185E-5864 // G185E-5863		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6022	-		:EV-COMP-AINF:3743282515:fulcher	
TU185E-5426			[TU185E-5426 606,551 &rarr; 608,062]	G185E-4647		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5426	+		:EV-COMP-AINF:3743282487:fulcher	
TU185E-6390			[TU185E-6390 2,632,923 &larr; 2,634,098]	G185E-6578		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6390	-		:EV-COMP-AINF:3743282533:fulcher	
TU185E-5794			[TU185E-5794 1,327,689 &larr; 1,329,305]	G185E-5355		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5794	-		:EV-COMP-AINF:3743282504:fulcher	
TU185E-6755			[TU185E-6755 3,431,428 &rarr; 3,431,838]	G185E-7328		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6755	+		:EV-COMP-AINF:3743282551:fulcher	
TU185E-7123			[TU185E-7123 4,224,985 &rarr; 4,230,100]	G185E-8079 // G185E-8078 // G185E-8077 // G185E-8076 // G185E-8075		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7123	+		:EV-COMP-AINF:3743282568:fulcher	
TU185E-6006			[TU185E-6006 1,837,075 &rarr; 1,840,583]	G185E-5823 // G185E-5822		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6006	+		:EV-COMP-AINF:3743282514:fulcher	
TU185E-5410			[TU185E-5410 575,033 &rarr; 575,069]	G185E-4614		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5410	+		:EV-COMP-AINF:3743282486:fulcher	
TU185E-6374			[TU185E-6374 2,603,695 &larr; 2,604,222]	G185E-6554		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6374	-		:EV-COMP-AINF:3743282532:fulcher	
TU185E-5778			[TU185E-5778 1,281,429 &rarr; 1,281,872]	G185E-5322		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5778	+		:EV-COMP-AINF:3743282503:fulcher	
TU185E-6739			[TU185E-6739 3,405,136 &rarr; 3,406,215]	G185E-7305		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6739	+		:EV-COMP-AINF:3743282550:fulcher	
TU185E-7107			[TU185E-7107 4,197,628 &larr; 4,198,137]	G185E-8039		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7107	-		:EV-COMP-AINF:3743282568:fulcher	
TU185E-5990			[TU185E-5990 1,793,997 &larr; 1,794,707]	G185E-5781		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5990	-		:EV-COMP-AINF:3743282513:fulcher	
TU185E-5394			[TU185E-5394 554,313 &larr; 556,306]	G185E-4592 // G185E-4591		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5394	-		:EV-COMP-AINF:3743282485:fulcher	
TU185E-6358			[TU185E-6358 2,577,851 &larr; 2,578,696]	G185E-6526		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6358	-		:EV-COMP-AINF:3743282531:fulcher	
TU185E-5762			[TU185E-5762 1,241,971 &larr; 1,243,504]	G185E-5286 // G185E-5285 // G185E-5284		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5762	-		:EV-COMP-AINF:3743282502:fulcher	
TU185E-6723			[TU185E-6723 3,367,264 &larr; 3,371,730]	G185E-7270 // G185E-7269 // G185E-7268 // G185E-7267		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6723	-		:EV-COMP-AINF:3743282549:fulcher	
TU185E-7091			[TU185E-7091 4,172,955 &rarr; 4,174,763]	G185E-8017		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7091	+		:EV-COMP-AINF:3743282567:fulcher	
TU185E-5974			[TU185E-5974 1,760,997 &rarr; 1,761,605]	G185E-5744		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5974	+		:EV-COMP-AINF:3743282513:fulcher	
TU185E-5378			[TU185E-5378 526,143 &larr; 528,314]	G185E-4564 // G185E-4563		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5378	-		:EV-COMP-AINF:3743282484:fulcher	
TU185E-913			[TU185E-913 1,986,854 &larr; 1,987,696]	G185E-5950		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-913	-		:EV-COMP-AINF:3658683447:fulcher	
TU185E-6342			[TU185E-6342 2,555,941 &rarr; 2,558,810]	G185E-6503 // G185E-6502 // G185E-6501		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6342	+		:EV-COMP-AINF:3743282531:fulcher	
TU185E-5746			[TU185E-5746 1,219,248 &larr; 1,220,186]	G185E-5256		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5746	-		:EV-COMP-AINF:3743282501:fulcher	
TU185E-6707			[TU185E-6707 3,327,023 &larr; 3,331,612]	G185E-7230 // G185E-7229 // G185E-7228 // G185E-7227		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6707	-		:EV-COMP-AINF:3743282548:fulcher	
TU185E-7075			[TU185E-7075 4,149,091 &larr; 4,149,480]	G185E-7992		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7075	-		:EV-COMP-AINF:3743282566:fulcher	
TU185E-5240			[TU185E-5240 176,665 &larr; 176,952]	G185E-4267		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5240	-		:EV-COMP-AINF:3743282478:fulcher	
TU185E-5362			[TU185E-5362 480,355 &larr; 483,656]	G185E-4528 // G185E-4527		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5362	-		:EV-COMP-AINF:3743282483:fulcher	
TU185E-7707			[TU185E-7707 144,049 &rarr; 145,626]	G185E-4236		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7707	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282597:fulcher	
TU185E-6326			[TU185E-6326 2,528,520 &larr; 2,529,174]	G185E-6472 // G185E-6471		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6326	-		:EV-COMP-AINF:3743282530:fulcher	
TU185E-5730			[TU185E-5730 1,197,231 &rarr; 1,198,082]	G185E-5235		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5730	+		:EV-COMP-AINF:3743282501:fulcher	
TU185E-7059			[TU185E-7059 4,118,776 &rarr; 4,120,955]	G185E-7964 // G185E-7963		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7059	+		:EV-COMP-AINF:3743282565:fulcher	
TU185E-5224			[TU185E-5224 148,491 &rarr; 149,224]	G185E-4240 // G185E-4239		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5224	+		:EV-COMP-AINF:3743282477:fulcher	
TU185E-5346			[TU185E-5346 454,421 &rarr; 455,386]	G185E-4501		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5346	+		:EV-COMP-AINF:3743282483:fulcher	
TU185E-7691			[TU185E-7691 224,724 &larr; 226,571]	G185E-4313		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7691	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282596:fulcher	
TU185E-6310			[TU185E-6310 2,497,742 &rarr; 2,498,587]	G185E-6436		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6310	+		:EV-COMP-AINF:3743282529:fulcher	
TU185E-5714			[TU185E-5714 1,172,881 &rarr; 1,173,786]	G185E-5210		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5714	+		:EV-COMP-AINF:3743282500:fulcher	
TU185E-6678			[TU185E-6678 3,221,767 &larr; 3,223,524]	G185E-7166		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6678	-		:EV-COMP-AINF:3743282546:fulcher	
TU185E-7043			[TU185E-7043 4,091,233 &rarr; 4,091,517]	G185E-7930		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7043	+		:EV-COMP-AINF:3743282565:fulcher	
TU185E-5208			[TU185E-5208 99,684 &rarr; 100,451]	G185E-4208		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5208	+		:EV-COMP-AINF:3743282476:fulcher	
TU185E-7411			[TU185E-7411 2,500,445 &larr; 2,500,751]	G185E-6438		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7411	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282582:fulcher	
TU185E-5330			[TU185E-5330 401,873 &larr; 405,841]	G185E-4462 // G185E-4461		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5330	-		:EV-COMP-AINF:3743282482:fulcher	
TU185E-7675			[TU185E-7675 330,933 &larr; 331,658]	G185E-4397		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7675	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282595:fulcher	
TU185E-6294			[TU185E-6294 2,461,504 &larr; 2,463,047]	G185E-6408 // G185E-6407		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6294	-		:EV-COMP-AINF:3743282528:fulcher	
TU185E-5698			[TU185E-5698 1,138,967 &rarr; 1,143,648]	G185E-5180 // G185E-5179		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5698	+		:EV-COMP-AINF:3743282499:fulcher	
TU185E-6662			[TU185E-6662 3,187,030 &rarr; 3,187,611]	G185E-7127		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6662	+		:EV-COMP-AINF:3743282545:fulcher	
TU185E-7027			[TU185E-7027 4,064,851 &larr; 4,067,285]	G185E-7906 // G185E-7905		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7027	-		:EV-COMP-AINF:3743282564:fulcher	
TU185E-5192			[TU185E-5192 65,552 &rarr; 66,694]	G185E-4176		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5192	+		:EV-COMP-AINF:3743282476:fulcher	
TU185E-7395			[TU185E-7395 2,651,753 &rarr; 2,651,938]	G185E-6597		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7395	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282582:fulcher	
TU185E-5314			[TU185E-5314 377,113 &rarr; 377,829]	G185E-4431		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5314	+		:EV-COMP-AINF:3743282481:fulcher	
TU185E-7659			[TU185E-7659 438,302 &larr; 438,739]	G185E-4484		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7659	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282594:fulcher	
TU185E-6278			[TU185E-6278 2,431,565 &larr; 2,431,969]	G185E-6378		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6278	-		:EV-COMP-AINF:3743282527:fulcher	
TU185E-5682			[TU185E-5682 1,110,269 &rarr; 1,111,549]	G185E-5151		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5682	+		:EV-COMP-AINF:3743282498:fulcher	
TU185E-6646			[TU185E-6646 3,150,171 &rarr; 3,151,201]	G185E-7095 // G185E-7094		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6646	+		:EV-COMP-AINF:3743282545:fulcher	
TU185E-7011			[TU185E-7011 4,034,352 &rarr; 4,035,710]	G185E-7871		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7011	+		:EV-COMP-AINF:3743282563:fulcher	
TU185E-5176			[TU185E-5176 39,877 &larr; 41,202]	G185E-4151		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5176	-		:EV-COMP-AINF:3743282475:fulcher	
TU185E-7379			[TU185E-7379 2,824,678 &rarr; 2,825,484]	G185E-6745		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7379	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282581:fulcher	
TU185E-5298			[TU185E-5298 323,338 &larr; 324,531]	G185E-4391		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5298	-		:EV-COMP-AINF:3743282481:fulcher	
TU185E-7643			[TU185E-7643 611,172 &larr; 612,074]	G185E-4651		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7643	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282594:fulcher	
TU185E-6262			[TU185E-6262 2,397,330 &rarr; 2,398,406]	G185E-6344		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6262	+		:EV-COMP-AINF:3743282526:fulcher	
TU185E-5666			[TU185E-5666 1,076,196 &larr; 1,076,678]	G185E-5120		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5666	-		:EV-COMP-AINF:3743282498:fulcher	
TU185E-6630			[TU185E-6630 3,113,658 &rarr; 3,114,812]	G185E-7057		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6630	+		:EV-COMP-AINF:3743282544:fulcher	
TU185E-6995			[TU185E-6995 3,999,647 &larr; 4,001,589]	G185E-7837 // G185E-7836		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6995	-		:EV-COMP-AINF:3743282563:fulcher	
TU185E-5160			[TU185E-5160 10,887 &rarr; 11,184]	G185E-4120 // G185E-4119		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5160	+		:EV-COMP-AINF:3743282474:fulcher	
TU185E-7363			[TU185E-7363 2,943,376 &rarr; 2,943,603]	G185E-6858		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7363	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282580:fulcher	
TU185E-5282			[TU185E-5282 289,104 &rarr; 289,782]	G185E-4361 // G185E-4360		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5282	+		:EV-COMP-AINF:3743282480:fulcher	
TU185E-7627			[TU185E-7627 778,990 &rarr; 779,487]	G185E-4821		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7627	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282593:fulcher	
TU185E-6246			[TU185E-6246 2,364,086 &larr; 2,364,781]	G185E-6310 // G185E-6309		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6246	-		:EV-COMP-AINF:3743282526:fulcher	
TU185E-5650			[TU185E-5650 1,041,264 &rarr; 1,045,222]	G185E-5091 // G185E-5090 // G185E-5089 // G185E-5088		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5650	+		:EV-COMP-AINF:3743282497:fulcher	
TU185E-6614			[TU185E-6614 3,084,485 &larr; 3,085,555]	G185E-7026		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6614	-		:EV-COMP-AINF:3743282543:fulcher	
TU185E-6979			[TU185E-6979 3,962,439 &rarr; 3,964,054]	G185E-7804 // G185E-7803		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6979	+		:EV-COMP-AINF:3743282562:fulcher	
TU185E-7344			[TU185E-7344 3,059,262 &rarr; 3,059,786]	G185E-6996		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7344	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282579:fulcher	
TU185E-5263			[TU185E-5263 236,550 &rarr; 237,895]	G185E-4320 // G185E-4319		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5263	+		:EV-COMP-AINF:3743282479:fulcher	
TU185E-7608			[TU185E-7608 930,953 &rarr; 931,597]	G185E-4989		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7608	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282592:fulcher	
TU185E-6227			[TU185E-6227 2,324,647 &larr; 2,326,809]	G185E-6273 // G185E-6272		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6227	-		:EV-COMP-AINF:3743282525:fulcher	
TU185E-5631			[TU185E-5631 1,004,501 &larr; 1,006,562]	G185E-5057 // G185E-5056		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5631	-		:EV-COMP-AINF:3743282496:fulcher	
TU185E-6595			[TU185E-6595 3,053,233 &rarr; 3,053,682]	G185E-6989		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6595	+		:EV-COMP-AINF:3743282542:fulcher	
TU185E-6960			[TU185E-6960 3,895,820 &rarr; 3,898,885]	G185E-7756		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6960	+		:EV-COMP-AINF:3743282561:fulcher	
TU185E-7328			[TU185E-7328 3,226,363 &rarr; 3,228,243]	G185E-7169		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7328	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282578:fulcher	
TU185E-7592			[TU185E-7592 995,318 &larr; 996,295]	G185E-5047		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7592	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282591:fulcher	
TU185E-6211			[TU185E-6211 2,268,268 &larr; 2,270,240]	G185E-6227 // G185E-6226		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6211	-		:EV-COMP-AINF:3743282524:fulcher	
TU185E-5615			[TU185E-5615 965,983 &larr; 967,733]	G185E-5024 // G185E-5023 // G185E-5022		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5615	-		:EV-COMP-AINF:3743282496:fulcher	
TU185E-6579			[TU185E-6579 3,023,565 &rarr; 3,024,257]	G185E-6959		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6579	+		:EV-COMP-AINF:3743282542:fulcher	
TU185E-6944			[TU185E-6944 3,872,617 &rarr; 3,873,405]	G185E-7728		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6944	+		:EV-COMP-AINF:3743282560:fulcher	
TU185E-7312			[TU185E-7312 3,375,758 &rarr; 3,376,387]	G185E-7274		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7312	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282578:fulcher	
TU185E-7576			[TU185E-7576 1,125,444 &larr; 1,127,003]	G185E-5165		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7576	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282590:fulcher	
TU185E-6195			[TU185E-6195 2,240,159 &rarr; 2,242,876]	G185E-6199		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6195	+		:EV-COMP-AINF:3743282523:fulcher	
TU185E-5599			[TU185E-5599 924,951 &rarr; 927,610]	G185E-4987 // G185E-4986		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5599	+		:EV-COMP-AINF:3743282494:fulcher	
TU185E-6563			[TU185E-6563 2,995,115 &rarr; 2,995,945]	G185E-6927		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6563	+		:EV-COMP-AINF:3743282541:fulcher	
TU185E-5966			[TU185E-5966 1,742,244 &rarr; 1,743,771]	G185E-5728 // G185E-5727		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5966	+		:EV-COMP-AINF:3743282512:fulcher	
TU185E-6928			[TU185E-6928 3,841,714 &larr; 3,842,076]	G185E-7701		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6928	-		:EV-COMP-AINF:3743282559:fulcher	
TU185E-7296			[TU185E-7296 3,496,551 &rarr; 3,497,549]	G185E-7395		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7296	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282577:fulcher	
TU185E-7560			[TU185E-7560 1,267,347 &rarr; 1,268,195]	G185E-5307		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7560	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282590:fulcher	
TU185E-6179			[TU185E-6179 2,221,719 &larr; 2,223,164]	G185E-6178		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6179	-		:EV-COMP-AINF:3743282522:fulcher	
TU185E-5583			[TU185E-5583 907,338 &larr; 908,018]	G185E-4962		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5583	-		:EV-COMP-AINF:3743282494:fulcher	
TU185E-6547			[TU185E-6547 2,970,123 &rarr; 2,971,549]	G185E-6894 // G185E-6893		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6547	+		:EV-COMP-AINF:3743282540:fulcher	
TU185E-5950			[TU185E-5950 1,701,295 &rarr; 1,702,593]	G185E-5698		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5950	+		:EV-COMP-AINF:3743282512:fulcher	
TU185E-6912			[TU185E-6912 3,804,865 &rarr; 3,805,575]	G185E-7666		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6912	+		:EV-COMP-AINF:3743282558:fulcher	
TU185E-7280			[TU185E-7280 3,590,692 &larr; 3,591,492]	G185E-7484		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7280	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282576:fulcher	
TU185E-7544			[TU185E-7544 1,345,260 &rarr; 1,346,324]	G185E-5372		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7544	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282589:fulcher	
TU185E-6163			[TU185E-6163 2,180,450 &larr; 2,181,217]	G185E-6125		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6163	-		:EV-COMP-AINF:3743282522:fulcher	
TU185E-5567			[TU185E-5567 873,343 &rarr; 874,943]	G185E-4929 // G185E-4928		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5567	+		:EV-COMP-AINF:3743282493:fulcher	
TU185E-6531			[TU185E-6531 2,955,058 &rarr; 2,955,420]	G185E-6872		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6531	+		:EV-COMP-AINF:3743282539:fulcher	
TU185E-5934			[TU185E-5934 1,666,990 &rarr; 1,669,144]	G185E-5662 // G185E-5661		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5934	+		:EV-COMP-AINF:3743282511:fulcher	
TU185E-6896			[TU185E-6896 3,771,344 &rarr; 3,772,534]	G185E-7635		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6896	+		:EV-COMP-AINF:3743282557:fulcher	
TU185E-7264			[TU185E-7264 3,769,111 &rarr; 3,769,500]	G185E-7630		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7264	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282575:fulcher	
TU185E-7528			[TU185E-7528 1,539,512 &larr; 1,540,645]	G185E-5549		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7528	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282588:fulcher	
TU185E-6147			[TU185E-6147 2,139,419 &rarr; 2,139,656]	G185E-6087		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6147	+		:EV-COMP-AINF:3743282521:fulcher	
TU185E-5551			[TU185E-5551 838,451 &rarr; 840,856]	G185E-4892		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5551	+		:EV-COMP-AINF:3743282492:fulcher	
TU185E-6515			[TU185E-6515 2,923,199 &larr; 2,925,383]	G185E-6836 // G185E-6835 // G185E-6834		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6515	-		:EV-COMP-AINF:3743282539:fulcher	
TU185E-5918			[TU185E-5918 1,611,434 &rarr; 1,612,393]	G185E-5617 // G185E-5616		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5918	+		:EV-COMP-AINF:3743282510:fulcher	
TU185E-6880			[TU185E-6880 3,717,090 &rarr; 3,719,746]	G185E-7608 // G185E-7607		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6880	+		:EV-COMP-AINF:3743282557:fulcher	
